Latitude,Longitude
55.775016,37.55393
55.775405,37.55437
55.77628,37.555067
55.776334,37.554241
55.7773,37.551119
55.77755,37.550615
55.778929,37.548512
55.779737,37.547171
55.78063,37.545701
55.781912,37.544853
55.783529,37.544102
55.784024,37.543437
55.784965,37.542557
55.785683,37.541742
55.787004,37.543609
55.789447,37.547192
55.790629,37.548737
55.791016,37.548243
55.791836,37.549359
55.792071,37.548844
55.792581,37.549649
55.791094,37.553007
55.789761,37.556054
55.788838,37.558146
55.787671,37.560828
55.786313,37.563908
55.785499,37.565732
55.785867,37.566225
55.787152,37.568049
55.788473,37.569851
55.789722,37.571611
55.790937,37.57336
55.791655,37.574765
55.79176,37.576096
55.791718,37.576814
55.791851,37.579722
55.792074,37.582865
55.792107,37.58485
55.792125,37.588369
55.790672,37.588005
55.788922,37.587661
55.787559,37.587339
55.785242,37.586696
55.784163,37.586417
55.78301,37.586052
55.781707,37.585623
55.780549,37.585065
55.779788,37.584571
55.779257,37.583992
55.778552,37.582962
55.777957,37.581954
55.777559,37.581363
55.776937,37.580087
55.776346,37.578681
55.775767,37.576975
55.775604,37.576192
55.775492,37.575109
55.775486,37.573521
55.775459,37.572062
55.775405,37.571096
55.775091,37.567931
55.774768,37.564959
55.77443,37.561762
55.77418,37.559251
55.773896,37.55644
55.773697,37.554445
55.775004,37.553908
