Latitude,Longitude
55.665506,37.580594
55.665621,37.581893
55.665633,37.582665
55.665803,37.583609
55.665742,37.584403
55.665609,37.584789
55.665694,37.585283
55.665585,37.585669
55.665657,37.586098
55.66556,37.587064
55.665184,37.5876
55.665233,37.58819
55.665372,37.58818
55.665609,37.588888
55.665215,37.589682
55.665391,37.59039
55.665281,37.59113
55.665379,37.591334
55.665306,37.591913
55.665573,37.593963
55.665463,37.594156
55.665542,37.594574
55.665221,37.595143
55.66567,37.595443
55.665761,37.595915
55.665949,37.596023
55.666337,37.596634
55.665245,37.599778
55.664893,37.600936
55.664663,37.602245
55.664123,37.607234
55.663456,37.613489
55.659247,37.608382
55.656784,37.605464
55.65642,37.605314
55.653169,37.605357
55.649214,37.605442
55.645076,37.605485
55.64135,37.605636
55.641981,37.594242
55.642236,37.591259
55.642576,37.589306
55.643037,37.587633
55.644445,37.583191
55.645367,37.580101
55.644833,37.579779
55.645768,37.577247
55.646666,37.573857
55.647491,37.568771
55.647733,37.566647
55.648364,37.56596
55.648619,37.564544
55.649493,37.563815
55.649918,37.564265
55.652156,37.56625
55.652544,37.566636
55.65548,37.569823
55.656609,37.571024
55.659714,37.574393
55.661873,37.576668
55.664566,37.579607
55.665506,37.580594
